"predictor","agg","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B3_RaoQ_w3","agg2",0.333333333333333,1,0.333333333333333,1,-4.13057114010737,-4.13057114010737,3,-3.28877419354839,-3.6097,1,-0.3376,-0.3376
"B3_RaoQ_w3","agg4",0.333333333333333,1,0.333333333333333,1,-4.99147114010737,-4.99147114010737,3,-3.81267419354839,-4.164,1,-0.4941,-0.4941
"B3_RaoQ_w5","agg1",0.333333333333333,1,0.333333333333333,1,-4.08727114010737,-4.08727114010737,3,-3.27130752688172,-3.5804,1,-0.3578,-0.3578
"B3_RaoQ_w5","agg2",0.333333333333333,1,0.333333333333333,1,-4.69547114010737,-4.69547114010737,3,-3.73224086021505,-4.1122,1,-0.6006,-0.6006
"B3_RaoQ_w5","agg4",0.333333333333333,1,0.333333333333333,1,-4.75487114010737,-4.75487114010737,3,-3.63850752688172,-3.9955,1,-0.3767,-0.3767
"B3_RaoQ_w7","agg1",0.333333333333333,0.333333333333333,0,1,2.90826749412149,2.90826749412149,1,-0.7373,-0.7373,0,NA,NA
"B3_RaoQ_w7","agg2",0.666666666666667,0,0.333333333333333,2,6.55411635963103,6.55411635963103,0,NA,NA,1,-3.4584,-3.4584
"B3_RaoQ_w7","agg4",0.666666666666667,0,0.333333333333333,2,18.402966359631,18.402966359631,0,NA,NA,1,3.9611,3.9611
"B3_RaoQ_w9","agg1",0.333333333333333,1,0.333333333333333,1,-4.46717114010737,-4.46717114010737,3,-3.57770752688172,-3.9657,1,-0.5118,-0.5118
"B3_RaoQ_w9","agg2",0.333333333333333,1,0.333333333333333,1,-4.54347114010737,-4.54347114010737,3,-3.56074086021505,-3.9866,1,-0.3637,-0.3637
"B3_RaoQ_w9","agg4",0.333333333333333,1,0.333333333333333,1,-3.91457114010737,-3.91457114010737,3,-2.88880752688172,-3.1806,1,0.2172,0.2172
"B3_glcm_ASM","agg1",0.333333333333333,1,0.333333333333333,1,-7.60407114010737,-7.60407114010737,3,-4.78114086021505,-4.5066,1,-0.4443,-0.4443
"B3_glcm_ASM","agg2",0.333333333333333,1,0.333333333333333,1,-6.89107114010737,-6.89107114010737,3,-4.31534086021505,-4.1831,1,-0.0833999999999997,-0.0833999999999997
"B3_glcm_ASM","agg4",0.333333333333333,1,0.333333333333333,1,-4.55067114010737,-4.55067114010737,3,-2.94830752688172,-2.9418,1,0.436,0.436
