"predictor","Type","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","mean_diff_shannon","mean_diff_turnover","mean_diff_richness","rank_ss_S","rank_ss_T","rank_ss_R","ranksum_ss_X","rank_delta_S","rank_delta_T","rank_delta_R","ranksum_delta_X","ranksum"
"B3_glcm_homogeneity","int_cit",0.666666666666667,1,0.333333333333333,-0.240786117610165,-0.398753301127214,-1.9809,145,113,91,349,87,57,57.5,201.5,550.5
"B3_glcm_homogeneity","int_prox",0.25,0.125,0.375,-0.00152574147441496,-0.4767,0.327633333333333,43,25,122,190,163,47,143,353,543
"B3_glcm_homogeneity","semi_nat",0.5,0.125,0.375,-0.0109754533391974,-0.2913,-0.672866666666667,123.5,25,122,270.5,158,80,134,372,642.5
"B4_CV","ext_prox",0.272727272727273,NA,0.272727272727273,0.27957054728085,0,2.61966666666667,60,NA,65,125,77,140.5,33,250.5,375.5
"B4_CV","int_cit",0.333333333333333,NA,0.333333333333333,-0.0533600082195901,0,1.9443,75,NA,91,166,143,140.5,68,351.5,517.5
"B4_CV","int_prox",0.125,NA,0.25,-0.02412378852676,0,1.99115,16,NA,36,52,151,140.5,53,344.5,396.5
"B4_CV","semi_nat",0.625,0.75,0.75,-0.414416016557218,-0.349497823628096,-5.16331666666667,134,105.5,160,399.5,66,68,5,139,538.5
"B4_RaoQ_w3","ext_prox",0.272727272727273,0.181818181818182,0.181818181818182,-0.579036041273854,-0.0811714046822751,-1.02645,60,40,12.5,112.5,56,111,119,286,398.5
"B4_RaoQ_w3","int_cit",0.333333333333333,NA,0.333333333333333,-1.47726000821959,0,0.5204,75,NA,91,166,21,140.5,138,299.5,465.5
"B4_RaoQ_w3","int_prox",0.125,NA,0.25,-0.82052378852676,0,1.0322,16,NA,36,52,45,140.5,118,303.5,355.5
"B4_RaoQ_w3","semi_nat",0.25,0.125,0.375,-0.91859425317195,0.625814285714286,1.6014,43,25,122,190,42,43,95,180,370
"B4_RaoQ_w5","ext_prox",0.272727272727273,0.181818181818182,0.181818181818182,-0.645336041273853,0.179378595317726,-1.7739,60,40,12.5,112.5,54,102,83,239,351.5
"B4_RaoQ_w5","int_cit",0.666666666666667,0.333333333333333,0.333333333333333,-1.09724699606514,-0.282604347826086,-0.1764,145,62.5,91,298.5,33,83,148,264,562.5
"B4_RaoQ_w5","int_prox",0.125,NA,0.25,-1.16192378852676,0,0.45075,16,NA,36,52,29,140.5,140,309.5,361.5
"B4_RaoQ_w5","semi_nat",0.25,0.125,0.375,-1.24834425317195,0.921414285714286,1.4801,43,25,122,190,28,36,100,164,354
"B4_RaoQ_w7","ext_prox",0.272727272727273,0.181818181818182,0.181818181818182,-0.46160270794052,0.478778595317725,-1.90815,60,40,12.5,112.5,61,46,75,182,294.5
"B4_RaoQ_w7","int_cit",0.666666666666667,0.333333333333333,0.333333333333333,-0.50639699606514,0.857395652173913,-0.1347,145,62.5,91,298.5,57,37,149,243,541.5
"B4_RaoQ_w7","int_prox",0.125,NA,0.25,-1.26622378852676,0,0.0167999999999999,16,NA,36,52,27,140.5,158,325.5,377.5
"B4_RaoQ_w7","semi_nat",0.25,0.125,0.375,-1.29829425317195,1.27121428571429,1.5634,43,25,122,190,23,31,96,150,340
"B4_RaoQ_w9","ext_prox",0.363636363636364,0.272727272727273,0.0909090909090909,-0.207626841586886,0.473681382385729,-4.656,93,55,2,150,95,48,9,152,302
"B4_RaoQ_w9","int_cit",0.666666666666667,0.333333333333333,0.333333333333333,-0.14734699606514,1.41499565217391,0.0257999999999998,145,62.5,91,298.5,112,28,155,295,593.5
"B4_RaoQ_w9","int_prox",0.125,NA,0.25,-1.28202378852676,0,-0.28905,16,NA,36,52,26,140.5,144,310.5,362.5
"B4_RaoQ_w9","semi_nat",0.375,0.25,0.5,-0.9669517920927,0.626471957671958,-0.460625,107,48.5,140.5,296,40,42,139,221,517
"B4_glcm_ASM","ext_prox",0.545454545454545,0.272727272727273,0.272727272727273,0.0846749565829566,-0.286705340381918,0.6554,131,55,65,251,130,81,135,346,597
"B4_glcm_ASM","int_cit",0.333333333333333,0.666666666666667,NA,-0.12283398391069,-0.338852173913044,0,75,98.5,NA,173.5,117,70,162.5,349.5,523
"B4_glcm_ASM","int_prox",0.5,0.375,0.625,-0.457222929387044,-0.405318702865762,-1.61128,123.5,74.5,150,348,63,53,93,209,557
"B4_glcm_ASM","semi_nat",0.5,0.375,0.375,-0.159495662726657,-0.33285480277025,-3.66666666666667,123.5,74.5,122,320,106,71,21,198,518
"B4_glcm_contrast","ext_prox",0.363636363636364,0.272727272727273,0.363636363636364,0.0971263078033301,1.48829114331723,-1.931425,93,55,108,256,127,26,72,225,481
"B4_glcm_contrast","int_cit",0.333333333333333,NA,0.333333333333333,-7.20416000821959,0,-5.2065,75,NA,91,166,1,140.5,4,145.5,311.5
"B4_glcm_contrast","int_prox",0.5,0.625,0.125,0.695830452655372,1.17393776223776,-0.2864,123.5,88,5.5,217,51,32,145,228,445
"B4_glcm_contrast","semi_nat",0.5,0.625,0.625,-0.339850434691895,1.8865035978836,-2.91384,123.5,88,150,361.5,74,24,27,125,486.5
"B4_glcm_dissimilarity","ext_prox",0.272727272727273,0.181818181818182,0.272727272727273,-0.03935333130908,-0.0975132850241545,0.219066666666667,60,40,65,165,149,108,147,404,569
"B4_glcm_dissimilarity","int_cit",0.333333333333333,NA,0.333333333333333,-0.48696000821959,0,1.5107,75,NA,91,166,60,140.5,98,298.5,464.5
"B4_glcm_dissimilarity","int_prox",0.5,0.625,0.125,-0.196494547344628,-0.255762237762238,-0.9246,123.5,88,5.5,217,99,88,127,314,531
"B4_glcm_dissimilarity","semi_nat",0.375,0.5,0.5,-0.184652151184477,-0.241778835978836,-3.987525,107,82.5,140.5,330,103,91,19,213,543
"B4_glcm_entropy","ext_prox",0.545454545454545,0.272727272727273,0.272727272727273,0.0700749565829566,-0.286438673715252,0.631966666666667,131,55,65,251,138,82,136,356,607
"B4_glcm_entropy","int_cit",0.333333333333333,0.666666666666667,NA,-0.11663398391069,-0.324052173913044,0,75,98.5,NA,173.5,120,73,162.5,355.5,529
"B4_glcm_entropy","int_prox",0.5,0.375,0.625,-0.457847929387044,-0.394718702865762,-1.62426,123.5,74.5,150,348,62,58,92,212,560
"B4_glcm_entropy","semi_nat",0.5,0.375,0.375,-0.162795662726657,-0.325388136103583,-3.6668,123.5,74.5,122,320,105,72,20,197,517
"B4_glcm_homogeneity","ext_prox",0.454545454545455,0.181818181818182,0.454545454545455,0.105515956217208,-0.281060035842294,-0.81048,115,40,135.5,290.5,122,84,129,335,625.5
"B4_glcm_homogeneity","int_cit",0.666666666666667,0.333333333333333,0.333333333333333,-0.0628969960651402,-0.383904347826087,1.9936,145,62.5,91,298.5,139,60,52,251,549.5
"B4_glcm_homogeneity","int_prox",0.5,0.375,0.625,-0.454097929387044,-0.404585369532428,-1.604,123.5,74.5,150,348,65,54,94,213,561
"B4_glcm_homogeneity","semi_nat",0.625,0.5,0.5,-0.218289904168166,-0.34533369467028,-4.503875,134,82.5,140.5,357,93,69,11,173,530
"SSD","ext_prox",0.272727272727273,0.363636363636364,0.0909090909090909,0.0204545912532766,-0.0091196083719928,0.3776,60,69,2,131,152,115,141,408,539
"SSD","int_cit",0.333333333333333,NA,0.333333333333333,-0.20576000821959,0,1.7919,75,NA,91,166,97,140.5,82,319.5,485.5
"SSD","int_prox",NA,0.125,0.25,0,-0.249336363636364,1.8496,NA,25,36,61,164,89,78,331,392
"SSD","semi_nat",0.375,0.25,0.5,-0.248918458759366,-0.160128042328042,-0.364025,107,48.5,140.5,296,83,106,142,331,627
